"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BCL2A1",14.3530373022866,-3.34508731822761,0.811517666606667,-4.12201416663543,3.75574097771545e-05,0.00580924758876634
"GAL",8.9517649746154,-3.34313923968163,1.320137547174,-2.53241735820501,0.0113279069062031,0.0794198236911019
"C3",37.4176686691256,-3.34150992074517,0.959986224521824,-3.48078944821276,0.000499938323078783,0.0185153214159952
"DLL4",14.9300563766179,-3.33900541522792,1.11429494322375,-2.99651850305262,0.0027308166493108,0.0390254477139279
"CRYBB1",10.1395792988699,-3.33770765688777,1.16677178601667,-2.86063452758198,0.00422794133773997,0.0481545843887183
"PCDH1",98.1975669770334,-3.32605690616511,0.871266264651859,-3.81749763660841,0.00013481207823494,0.0103500251012781
"CNTFR",98.4194875531375,-3.31783337977674,0.764415527385757,-4.3403531991605,1.42253877934586e-05,0.00371730669710063
"LOC104833743",6.61026591766922,-3.31322077920637,1.09340375944087,-3.03018967202072,0.00244400202289377,0.0376313614913223
"OCSTAMP",23.8748323530701,-3.29612544385569,0.887048803060429,-3.71583325797143,0.000202535120358266,0.0121913900277881
"SPAG6",27.9043217860243,-3.27995276993213,0.967309443202867,-3.39079990687556,0.000696889602930012,0.021369926657778
"SRD5A1",24.3929358465635,-3.27761971357124,0.985991978165616,-3.32418496920134,0.000886773588046675,0.0237330396923026
"CYSLTR2",23.4580161661121,-3.27540417383252,0.81307486642513,-4.0284164584174,5.61538076359442e-05,0.00696436442291739
"FLT1",227.835827676876,-3.27485256081372,0.642122788839387,-5.10004101666115,3.39579885260872e-07,0.000881276856516909
"CNDP1",12.9274439160811,-3.26778517904621,1.19272424417652,-2.73976587212104,0.00614829645861667,0.0569996611379449
"ADTRP",46.9094678690987,-3.26732872418834,0.849617783668984,-3.84564540313496,0.000120235538616837,0.0100368047235865
"ADAM15",10.1902211721676,-3.26591982429352,1.03640046936571,-3.15121415015597,0.00162593228764775,0.0308737322661833
"SLC5A5",5.98609645062287,-3.26377877206176,1.22027957955801,-2.67461557723019,0.00748149832309015,0.0637169225605362
"LOC104843306",64.7831505184411,-3.25380956855591,0.920233519060251,-3.53585204316262,0.000406462272664159,0.0169126872828204
"LOC104828449",10.3550825626752,-3.25257648659103,1.13644610833354,-2.8620595932706,0.00420897759376565,0.0481545843887183
"SCRN2",2.9212826448141,-3.24763273617252,1.33017419986654,-2.44150934253452,0.0146260098886041,0.0909098065479514
"HAPLN3",7.60133795485296,-3.24052884137028,1.06836727632917,-3.03315995647537,0.00242007284439562,0.0375987092723089
"LOC104840371",5.94099444262878,-3.22743039696997,1.25906174045755,-2.56336150425563,0.010366404974325,0.0760347611715138
"SHF",25.6810690263172,-3.21362011755963,0.915018911033085,-3.51208054698165,0.000444613226120827,0.0177137951224957
"FRRS1L",12.1965009302357,-3.21316151293301,1.00867364034166,-3.18553135962255,0.00144488443338329,0.0294521210665222
"FLVCR1",20.9509551714738,-3.20169167945232,0.931667264572932,-3.43651838075469,0.000589242369857084,0.0199033458647268
"VIP",6.13403256415938,-3.18974549158999,1.28062647178061,-2.49076960525024,0.0127466746631077,0.0843204554129348
"SLC11A1",13.3773260864478,-3.18775466542655,1.0993950340378,-2.8995534514275,0.0037369462339958,0.0452661376262777
"PDGFA",47.6887256781778,-3.18016309491122,0.762686277770028,-4.16968704905706,3.0501818965687e-05,0.00555276187464127
"SMYD1",41.8937303049338,-3.18001659934089,1.101938312706,-2.88583903715246,0.00390371751527952,0.0464997744345527
"LOC104833000",44.9096598643447,-3.17432387385221,1.02184303475902,-3.10646916001224,0.00189336056851424,0.0333016161532321
"HAPLN4",7.30406871273585,-3.16078522033115,1.16039185397996,-2.72389469944155,0.00645170730808722,0.0583998897450262
"LOC104836426",49.854766597126,-3.14850931650512,0.890510968091395,-3.53562104153891,0.000406817824924279,0.0169126872828204
"BACE2",36.3926371373423,-3.14544186917993,1.02617725906768,-3.06520324961953,0.00217522118815246,0.0363454663426515
"CCKAR",9.58894095391038,-3.1416702365089,1.1181028623177,-2.80982219292111,0.00495688766870459,0.0515825829571676
"KANK1",26.3403437206075,-3.13689442516394,1.01933881623081,-3.07738150967622,0.00208827842600775,0.0355412823377824
"SSTR2",3.76217897821831,-3.13629724490915,1.2778087070568,-2.45443408515586,0.0141106531140378,0.0889880054731107
"RND2",46.0714355035311,-3.13618208300023,0.726609511699687,-4.31618638691374,1.58747951140756e-05,0.00379479761386015
"LOC104833504",13.6499855283196,-3.13490606300353,1.07116315718739,-2.92663731194322,0.00342648210788411,0.043264992569898
"FAM221A",9.66687847129357,-3.13446219059813,1.11827306936504,-2.80294882928539,0.00506377029065008,0.0520209707804471
"COLQ",41.0602096912503,-3.12691882033578,0.965884619346981,-3.23736268049267,0.00120639984026897,0.0272126088001978
"ARHGAP31",107.765349495113,-3.12546468256547,0.734458497754644,-4.25546806541214,2.0861213945339e-05,0.00456712965698665
"PLXNB2",107.897354531308,-3.12387798423642,0.81932213955451,-3.81275914981984,0.000137424015312478,0.0103987467126377
"GJD4",5.6204207289588,-3.12345337485285,1.24541815970781,-2.50795554128234,0.012143194460972,0.0824482088783555
"SLC13A3",40.9024883608739,-3.11894899921237,0.959948731193363,-3.24907872458464,0.00115779431101695,0.026645707619716
"ITGB5",113.982306900992,-3.11496283829462,0.910347159738554,-3.42173071555386,0.000622239076904863,0.0200757994198937
"LOC104839896",17.2520951020885,-3.10424714294951,0.707059556523194,-4.39036162415221,1.13162309174847e-05,0.00369376487284426
"RASGEF1B",28.2229828478156,-3.09855587721942,0.894439322990373,-3.4642437978465,0.000531724371377308,0.0190876346011827
"SOWAHC",10.8856235660377,-3.09651815219425,1.02606025818897,-3.01787163812357,0.00254556703190084,0.0383426948725618
"LOC104828195",7.85541966790303,-3.09651207620498,1.2560221556221,-2.46533236881581,0.0136886209656704,0.0875991527320119
"ENC1",9.53180645012095,-3.09630077440914,0.926999526725778,-3.34013199051511,0.000837385810707348,0.0232391133430604
"AQP1",21.5923591762983,-3.09432834678114,1.10902210417747,-2.79014127412375,0.00526850472017618,0.0526959151236745
"AICDA",13.9523158710303,-3.09153647718477,0.992824533056691,-3.11388002033612,0.00184644557485332,0.0327502774979885
"ZNF503",6.42585843760257,-3.09138521019351,1.11551338762891,-2.77126679471274,0.00558386543322497,0.0543303391550974
"LOC104829600",25.6733329651294,-3.08964920191416,0.848188126139372,-3.6426461379235,0.000269849685807624,0.0142175444450888
"RANBP3L",46.854606317687,-3.08652081175936,0.818132302924364,-3.77264264071567,0.000161527564741634,0.0111042282741994
"PYGO1",28.1282838182166,-3.07891763081754,1.05159379859442,-2.92785829940502,0.00341305555285065,0.0431864184357661
"LOC104835352",11.6151450832722,-3.07627320957166,1.03136454906066,-2.98272149491027,0.00285697839535608,0.0398578954051148
"FUT4",11.8483804568519,-3.0719364501113,1.1065297541986,-2.7761896491759,0.00550001160872906,0.053863242179341
"TMEM26",21.0220997892292,-3.0714932224357,0.993222060018516,-3.09245368792799,0.00198509205429448,0.0343407865576799
"GAA",13.7413561519259,-3.07144290547058,1.03297214224098,-2.97340342480798,0.00294517071876224,0.0405654731218737
"GAS2L3",11.0537680159214,-3.07142243766398,1.0416700640764,-2.94855592340293,0.00319262370584915,0.042386575615006
"SLC7A2",23.5310283694228,-3.06878177497394,1.05391890874453,-2.91178168406674,0.00359373714549822,0.0445217047071264
"NHSL1",169.125996360612,-3.06247924011798,0.749968211292129,-4.08347873150729,4.43664915917279e-05,0.00623132213539691
"CALB2",10.3988129056197,-3.06123768417795,1.11651772376501,-2.74177258364976,0.00611086339508294,0.0569539693859344
"SNTA1",49.7567945479205,-3.05993745552691,0.970089889588245,-3.15428239008418,0.00160893318275088,0.0308246980258174
"SH2D4A",18.0667329377259,-3.05410520668544,0.987588333545793,-3.09248813796748,0.00198486166144412,0.0343407865576799
"LOC104831213",10.7749789189597,-3.01834773484331,1.16758176925115,-2.58512749542088,0.00973429945999161,0.0739778625145894
"LOC104842429",7.67390296280436,-3.01716753406195,1.09724372335435,-2.7497696909473,0.00596371645632654,0.0563151006453894
"PGR",37.2368824772301,-3.01715809497291,0.925487605067857,-3.26007401768681,0.00111383142190127,0.0261108182546268
"TMC3",27.0207768788711,-3.00824455834655,0.93443605501235,-3.21931558848807,0.00128496981040019,0.028050942744253
"STOML1",9.03926961695695,-3.00482820109805,1.04876798158339,-2.86510291490925,0.00416873735462082,0.0480935815653178
"LOC104842258",28.5644426942495,-3.00152693273781,0.940256147184397,-3.19224388133585,0.00141172080625837,0.0290424359294541
"DHCR24",11.9614639433971,-2.99870021630307,1.06577842950974,-2.81362442068045,0.00489864249369312,0.0511150017347859
"SLC4A9",37.2937687750382,-2.9963078200084,0.777834947185447,-3.85211262472891,0.000117103137767746,0.0100368047235865
"CARHSP1",82.8337551214174,-2.99543755472007,0.59608956672228,-5.02514675972454,5.03047693666671e-07,0.000881842606997675
"MCM3",21.0985834750453,-2.99263794101365,0.85740181901218,-3.49035641708982,0.000482376743563453,0.0182504985208647
"FAM189A2",25.3880473607922,-2.98722331965996,0.932556904839873,-3.20326116739535,0.00135880693716562,0.0286832054990894
"CTTNBP2NL",24.0258556791744,-2.98514194565409,0.897980236221822,-3.32428468382983,0.00088645655445655,0.0237330396923026
