"","Eagle_002_lps","Eagle_004_lps","Eagle_006_lps","Eagle_007_lps","Eagle_008_lps","Eagle_012_lps","Eagle_013_lps","Eagle_014_lps","Eagle_015_lps","Eagle_020_lps","Eagle_021_lps","Eagle_022_lps"
"KDELR3",6.25004771065094,3.61620760470344,0,3.14354618167295,4.48058458167396,5.19361676125566,5.22008677278439,4.77386125445256,6.22039898040622,5.07687635620772,4.11617131225691,3.9505750149855
"LOC104828621",4.12943377308661,0,0,0.367658319719289,0,1.82479893323011,0.914353878114991,0,2.48484008806099,2.09597238796662,0.931963483568635,0.868964053177912
"KCNJ4",5.42988756749086,0.917746753147962,0,0,2.76890279836221,0,2.65726242405566,1.10163366589234,3.19131516895892,0,2.46971775169796,1.16319373102183
"CSNK1E",8.35338229438792,7.44614599430894,7.0703461261,6.13095426893655,6.18446584621852,6.6461695187205,6.21785415824681,3.17341996229444,3.95424386094328,5.55003842067251,7.28767460110204,5.25496414336318
"TMEM184B",9.15632988667496,10.7221441447224,10.7731140257645,10.8191316945164,10.83387989431,10.8207946587234,10.609676725895,11.0102554062246,10.9890298467304,10.4439126468442,10.514390574016,10.9660412261649
"MAFF",4.73369523392263,4.82107994340225,5.50669476509095,4.61534607995783,4.71161633410436,5.46675100613543,4.91628163907196,4.18504459737552,4.83725390150449,5.7388292786297,5.18614243771787,4.13150880917181
"PLA2G6",8.05000783848764,8.25870312441417,7.98282349660485,8.70770123707377,8.77850640867084,8.45892138722853,8.7952186199463,8.83636059535091,8.72547931896781,8.70370653676219,8.30184932907994,8.74082736681099
"BAIAP2L2",7.64500990244355,4.7749707406392,6.23091148868418,5.50491595968823,5.51059857436209,5.69631455288362,5.89219273740342,6.25992002784723,6.28070779806285,6.1908741251487,5.33957854511241,5.95768187110649
"SLC16A8",6.46043742516411,2.09094224464021,0,2.42057756792867,3.13002885387883,2.60529345061777,1.46959927807591,2.14988586195767,2.88089666391854,0,2.87874410699944,2.47116936820721
"PICK1",7.05544112574024,8.30675740749238,8.2164330428849,8.48738476514148,7.99413098375623,7.89153825711177,8.29956201717744,8.4767560564292,8.20926624951444,8.02090345131486,7.7529589236169,8.15615763270787
